record_id,timestamp,department,data_system,cost_category,planned_costs,actual_costs,cost_optimization_strategy,satisfaction_level,employee_count,cost_deviation,cost_per_employee
17,2023-12-04 17:51:04,Производство,Система управленческого учета,Обучение сотрудников,45844,53506,Переход на ПО с открытым исходным кодом,Недоволен,328,7662,163.13
18,2023-06-22 10:47:05,HR,Data Lake,Консалтинг,6433,6588,Оптимизация облачных ресурсов,Очень доволен,112,155,58.82
19,2024-05-18 06:14:38,Исследования и разработка,Система управленческого учета,Заработная плата персонала,50352,47190,Переход на ПО с открытым исходным кодом,Недоволен,225,-3162,209.73
20,2024-03-05 01:52:22,Логистика,ERP,Консалтинг,35022,30714,Повышение квалификации сотрудников,Очень недоволен,434,-4308,70.77
21,2023-05-09 02:25:14,Производство,ERP,Лицензии на ПО,65704,80034,Пересмотр лицензионных соглашений,Недоволен,168,14330,476.39
22,2023-08-15 04:12:41,ИТ,ETL-инструменты,Обслуживание оборудования,40040,34887,Централизация закупок ПО,Доволен,469,-5153,74.39
23,2024-04-18 06:23:07,Финансы,ERP,Обслуживание оборудования,26196,23607,Пересмотр лицензионных соглашений,Недоволен,457,-2589,51.66
24,2023-11-29 06:41:18,Маркетинг,Система управленческого учета,Консалтинг,15800,18279,Централизация закупок ПО,Очень доволен,187,2479,97.75
25,2023-02-09 23:20:06,Маркетинг,Data Lake,Консалтинг,41643,43791,Повышение квалификации сотрудников,Доволен,287,2148,152.58
26,2024-04-06 05:45:29,ИТ,ETL-инструменты,Обучение сотрудников,30460,31395,Оптимизация облачных ресурсов,Очень доволен,326,935,96.3
27,2023-02-14 01:29:21,Исследования и разработка,ERP,Лицензии на ПО,77865,90621,Пересмотр лицензионных соглашений,Нейтрально,107,12756,846.93
28,2023-10-27 23:01:14,Производство,ERP,Консалтинг,86265,77035,Оптимизация облачных ресурсов,Очень доволен,211,-9230,365.09
29,2024-06-25 12:34:38,ИТ,ETL-инструменты,Консалтинг,49647,51216,Оптимизация облачных ресурсов,Очень недоволен,25,1569,2048.64
30,2024-12-12 13:15:44,Логистика,BI-платформа,Облачные сервисы,93628,93954,Пересмотр лицензионных соглашений,Очень недоволен,342,326,274.72
31,2023-01-13 06:26:45,ИТ,ETL-инструменты,Обслуживание оборудования,76801,70462,Пересмотр лицензионных соглашений,Очень доволен,315,-6339,223.69
32,2023-11-12 23:12:58,Маркетинг,Хранилище данных,Обслуживание оборудования,77640,77454,Переход на ПО с открытым исходным кодом,Очень недоволен,374,-186,207.1
33,2024-10-09 19:19:46,Продажи,BI-платформа,Обучение сотрудников,58004,67382,Переход на ПО с открытым исходным кодом,Недоволен,170,9378,396.36
34,2024-12-02 23:05:18,Маркетинг,CRM,Обучение сотрудников,39922,38748,Повышение квалификации сотрудников,Нейтрально,308,-1174,125.81
35,2024-03-30 02:22:47,Производство,ETL-инструменты,Консалтинг,32444,29388,Переход на ПО с открытым исходным кодом,Доволен,495,-3056,59.37
36,2024-10-26 10:40:26,ИТ,CRM,Облачные сервисы,63527,57423,Автоматизация рутинных задач,Очень недоволен,194,-6104,295.99
37,2024-02-03 09:00:43,Исследования и разработка,BI-платформа,Обслуживание оборудования,85332,106276,Повышение квалификации сотрудников,Нейтрально,276,20944,385.06
38,2024-05-07 12:12:07,Маркетинг,BI-платформа,Облачные сервисы,56016,48805,Пересмотр лицензионных соглашений,Нейтрально,109,-7211,447.75
39,2024-06-06 01:19:22,ИТ,ETL-инструменты,Обслуживание оборудования,10683,10777,Централизация закупок ПО,Недоволен,229,94,47.06
40,2024-11-22 22:39:47,Финансы,ETL-инструменты,Лицензии на ПО,20105,24747,Пересмотр лицензионных соглашений,Доволен,38,4642,651.24
41,2023-09-06 19:28:03,Финансы,Система управленческого учета,Лицензии на ПО,77164,85706,Оптимизация облачных ресурсов,Очень доволен,135,8542,634.86
42,2023-04-26 17:48:13,HR,ERP,Облачные сервисы,53032,51324,Автоматизация рутинных задач,Недоволен,175,-1708,293.28
43,2023-03-09 05:20:54,ИТ,CRM,Заработная плата персонала,68149,75263,Повышение квалификации сотрудников,Доволен,362,7114,207.91
44,2024-11-27 05:32:30,Маркетинг,Хранилище данных,Консалтинг,75083,84841,Автоматизация рутинных задач,Нейтрально,19,9758,4465.32
45,2024-03-07 17:36:42,Финансы,ETL-инструменты,Лицензии на ПО,32221,39327,Пересмотр лицензионных соглашений,Недоволен,148,7106,265.72
46,2024-09-13 19:07:56,ИТ,ERP,Облачные сервисы,85804,82987,Автоматизация рутинных задач,Доволен,393,-2817,211.16
47,2024-06-23 21:56:39,Продажи,Хранилище данных,Лицензии на ПО,64211,68173,Централизация закупок ПО,Недоволен,434,3962,157.08
48,2023-07-01 02:39:48,HR,ERP,Заработная плата персонала,57736,65243,Пересмотр лицензионных соглашений,Доволен,43,7507,1517.28
49,2023-08-02 11:16:24,Продажи,Хранилище данных,Обслуживание оборудования,69975,85383,Переход на ПО с открытым исходным кодом,Очень доволен,487,15408,175.32
50,2023-11-07 10:26:10,Производство,CRM,Обучение сотрудников,6960,6451,Повышение квалификации сотрудников,Доволен,444,-509,14.53
51,2023-09-04 02:18:53,Маркетинг,Хранилище данных,Заработная плата персонала,7921,7754,Оптимизация облачных ресурсов,Недоволен,294,-167,26.37
52,2024-02-03 22:27:06,Маркетинг,Data Lake,Обслуживание оборудования,82718,95283,Централизация закупок ПО,Доволен,465,12565,204.91
53,2024-06-29 16:43:50,Продажи,Data Lake,Облачные сервисы,8963,10775,Централизация закупок ПО,Недоволен,425,1812,25.35
54,2024-10-04 03:48:11,Исследования и разработка,BI-платформа,Обслуживание оборудования,9817,9225,Переход на ПО с открытым исходным кодом,Доволен,210,-592,43.93
55,2023-02-09 01:32:43,Финансы,CRM,Заработная плата персонала,53564,62870,Повышение квалификации сотрудников,Недоволен,133,9306,472.71
56,2023-10-23 03:46:56,ИТ,Система управленческого учета,Обучение сотрудников,78301,94004,Централизация закупок ПО,Очень доволен,34,15703,2764.82
57,2023-10-26 16:25:03,HR,CRM,Лицензии на ПО,81513,92478,Переход на ПО с открытым исходным кодом,Доволен,257,10965,359.84
58,2024-03-25 14:59:50,ИТ,BI-платформа,Обслуживание оборудования,47646,48399,Централизация закупок ПО,Доволен,367,753,131.88
59,2023-04-28 14:28:12,Маркетинг,ERP,Обучение сотрудников,38752,47158,Переход на ПО с открытым исходным кодом,Нейтрально,438,8406,107.67
60,2023-02-21 06:57:09,HR,Система управленческого учета,Облачные сервисы,64831,69606,Автоматизация рутинных задач,Нейтрально,444,4775,156.77
61,2024-03-18 13:25:20,Производство,Data Lake,Обслуживание оборудования,32091,27435,Оптимизация облачных ресурсов,Доволен,291,-4656,94.28
62,2023-02-06 08:26:18,Маркетинг,ERP,Консалтинг,59808,71833,Переход на ПО с открытым исходным кодом,Очень недоволен,240,12025,299.3
63,2024-12-22 18:24:38,Исследования и разработка,CRM,Лицензии на ПО,41261,45902,Централизация закупок ПО,Очень недоволен,138,4641,332.62
64,2023-06-13 01:24:52,ИТ,Data Lake,Лицензии на ПО,43352,37245,Автоматизация рутинных задач,Доволен,409,-6107,91.06
65,2023-08-07 13:11:04,HR,Data Lake,Заработная плата персонала,68575,76221,Переход на ПО с открытым исходным кодом,Нейтрально,175,7646,435.55
66,2023-02-07 04:06:39,Финансы,Хранилище данных,Лицензии на ПО,68917,65472,Пересмотр лицензионных соглашений,Очень недоволен,449,-3445,145.82
67,2023-06-27 06:03:40,ИТ,CRM,Обслуживание оборудования,83175,103917,Переход на ПО с открытым исходным кодом,Очень недоволен,166,20742,626.01
68,2023-11-26 21:11:17,Маркетинг,ERP,Обучение сотрудников,57442,69957,Централизация закупок ПО,Очень доволен,340,12515,205.76
69,2024-07-13 19:55:57,Исследования и разработка,BI-платформа,Обслуживание оборудования,59171,61181,Переход на ПО с открытым исходным кодом,Очень недоволен,22,2010,2780.95
70,2024-11-01 21:15:37,HR,CRM,Консалтинг,62498,62171,Переход на ПО с открытым исходным кодом,Очень доволен,375,-327,165.79
71,2023-05-02 17:27:36,Производство,ERP,Обучение сотрудников,44518,38673,Переход на ПО с открытым исходным кодом,Доволен,295,-5845,131.09
72,2024-07-11 18:04:12,ИТ,ERP,Обучение сотрудников,19011,17839,Автоматизация рутинных задач,Очень доволен,304,-1172,58.68
73,2024-11-21 13:22:39,Финансы,Система управленческого учета,Заработная плата персонала,89354,96481,Централизация закупок ПО,Недоволен,147,7127,656.33
74,2024-09-17 15:14:13,ИТ,ETL-инструменты,Консалтинг,40284,38740,Повышение квалификации сотрудников,Очень доволен,234,-1544,165.56
75,2024-08-13 09:19:12,Финансы,ETL-инструменты,Заработная плата персонала,70261,85770,Переход на ПО с открытым исходным кодом,Очень недоволен,24,15509,3573.75
76,2024-03-22 07:38:18,ИТ,BI-платформа,Заработная плата персонала,58629,50644,Централизация закупок ПО,Нейтрально,390,-7985,129.86
77,2024-09-22 07:06:13,HR,CRM,Консалтинг,19616,22031,Повышение квалификации сотрудников,Недоволен,143,2415,154.06
78,2024-07-18 07:02:20,ИТ,Система управленческого учета,Обучение сотрудников,14979,18531,Централизация закупок ПО,Нейтрально,471,3552,39.34
79,2023-07-17 10:28:38,Производство,Data Lake,Лицензии на ПО,99358,97425,Централизация закупок ПО,Недоволен,445,-1933,218.93
80,2023-11-24 15:09:40,Продажи,ERP,Облачные сервисы,25612,21899,Пересмотр лицензионных соглашений,Доволен,455,-3713,48.13
81,2023-05-29 07:50:12,ИТ,Хранилище данных,Лицензии на ПО,44215,49012,Переход на ПО с открытым исходным кодом,Очень недоволен,294,4797,166.71
82,2023-09-03 08:38:33,Продажи,Хранилище данных,Консалтинг,13129,14195,Централизация закупок ПО,Нейтрально,392,1066,36.21
83,2024-11-25 18:01:09,Продажи,BI-платформа,Консалтинг,12583,13205,Автоматизация рутинных задач,Нейтрально,493,622,26.78
84,2023-12-22 22:50:02,Производство,Система управленческого учета,Облачные сервисы,67108,61897,Оптимизация облачных ресурсов,Очень недоволен,385,-5211,160.77
85,2024-09-09 04:07:20,Производство,Система управленческого учета,Консалтинг,52345,61248,Повышение квалификации сотрудников,Доволен,445,8903,137.64
86,2024-03-04 01:10:57,Финансы,Data Lake,Лицензии на ПО,75460,70066,Переход на ПО с открытым исходным кодом,Очень доволен,492,-5394,142.41
87,2023-06-02 20:55:25,Маркетинг,BI-платформа,Обслуживание оборудования,71914,64942,Централизация закупок ПО,Очень доволен,90,-6972,721.58
88,2023-03-26 19:46:22,Логистика,Система управленческого учета,Облачные сервисы,18164,21531,Оптимизация облачных ресурсов,Недоволен,109,3367,197.53
89,2023-08-08 16:49:34,Логистика,Хранилище данных,Заработная плата персонала,73411,89338,Централизация закупок ПО,Нейтрально,438,15927,203.97
90,2023-03-30 16:02:03,ИТ,BI-платформа,Обучение сотрудников,47389,42397,Оптимизация облачных ресурсов,Очень доволен,372,-4992,113.97
91,2023-09-16 17:50:28,ИТ,Хранилище данных,Консалтинг,18350,18235,Оптимизация облачных ресурсов,Очень недоволен,127,-115,143.58
92,2024-04-11 14:12:09,Финансы,Data Lake,Облачные сервисы,10626,11032,Пересмотр лицензионных соглашений,Очень недоволен,39,406,282.87
93,2023-11-20 03:05:29,Исследования и разработка,CRM,Облачные сервисы,39576,40966,Оптимизация облачных ресурсов,Очень недоволен,293,1390,139.82
94,2023-10-10 10:07:46,Продажи,ERP,Лицензии на ПО,6643,7230,Автоматизация рутинных задач,Очень недоволен,399,587,18.12
95,2023-06-17 18:34:02,ИТ,Система управленческого учета,Облачные сервисы,59095,51661,Автоматизация рутинных задач,Очень недоволен,282,-7434,183.2
96,2023-03-02 01:17:22,Производство,Хранилище данных,Облачные сервисы,6759,5756,Переход на ПО с открытым исходным кодом,Очень недоволен,376,-1003,15.31
97,2024-01-22 17:32:39,Финансы,CRM,Заработная плата персонала,25637,29523,Пересмотр лицензионных соглашений,Очень недоволен,465,3886,63.49
98,2024-04-22 17:48:35,ИТ,Хранилище данных,Лицензии на ПО,6682,7913,Повышение квалификации сотрудников,Недоволен,234,1231,33.82
99,2023-10-29 12:34:00,Маркетинг,Data Lake,Обслуживание оборудования,44799,39462,Автоматизация рутинных задач,Нейтрально,153,-5337,257.92
100,2024-07-10 20:45:52,Производство,ERP,Облачные сервисы,46125,44473,Автоматизация рутинных задач,Доволен,454,-1652,97.96
101,2023-12-24 06:12:07,Логистика,ERP,Обучение сотрудников,74086,76110,Переход на ПО с открытым исходным кодом,Доволен,222,2024,342.84
102,2023-11-23 11:48:39,HR,ERP,Лицензии на ПО,88057,107591,Оптимизация облачных ресурсов,Недоволен,335,19534,321.17
103,2024-11-30 22:59:22,Финансы,ERP,Консалтинг,49633,47656,Переход на ПО с открытым исходным кодом,Доволен,96,-1977,496.42
104,2023-12-21 15:56:35,Финансы,CRM,Заработная плата персонала,40516,40229,Автоматизация рутинных задач,Очень недоволен,426,-287,94.43
105,2023-12-18 00:43:51,ИТ,Data Lake,Обучение сотрудников,77451,94932,Автоматизация рутинных задач,Доволен,349,17481,272.01
106,2024-05-01 23:09:02,Финансы,Система управленческого учета,Лицензии на ПО,36037,42952,Переход на ПО с открытым исходным кодом,Доволен,471,6915,91.19
107,2024-05-02 23:58:02,Продажи,Data Lake,Консалтинг,54540,57734,Пересмотр лицензионных соглашений,Доволен,361,3194,159.93
108,2024-10-10 10:26:05,ИТ,Data Lake,Консалтинг,44287,40118,Автоматизация рутинных задач,Очень доволен,181,-4169,221.65
109,2024-07-27 17:48:57,Финансы,CRM,Обслуживание оборудования,80421,70540,Оптимизация облачных ресурсов,Очень недоволен,259,-9881,272.36
110,2024-03-18 07:22:33,Продажи,Система управленческого учета,Облачные сервисы,80717,98781,Автоматизация рутинных задач,Недоволен,411,18064,240.34
111,2023-12-29 22:30:27,Продажи,ETL-инструменты,Заработная плата персонала,41250,44031,Повышение квалификации сотрудников,Нейтрально,399,2781,110.35
112,2023-08-20 09:35:28,Исследования и разработка,CRM,Заработная плата персонала,22505,24252,Оптимизация облачных ресурсов,Доволен,60,1747,404.2
113,2023-09-09 02:34:26,Финансы,Хранилище данных,Обслуживание оборудования,34709,42831,Повышение квалификации сотрудников,Нейтрально,492,8122,87.05
114,2024-06-15 13:14:44,Маркетинг,ETL-инструменты,Консалтинг,47942,41907,Централизация закупок ПО,Нейтрально,464,-6035,90.32
115,2024-05-11 09:50:18,Финансы,Data Lake,Консалтинг,61710,66584,Переход на ПО с открытым исходным кодом,Недоволен,92,4874,723.74
116,2023-05-05 07:10:29,Логистика,Система управленческого учета,Консалтинг,21091,24452,Повышение квалификации сотрудников,Нейтрально,219,3361,111.65
117,2023-12-13 23:48:53,Маркетинг,Хранилище данных,Лицензии на ПО,12234,12653,Автоматизация рутинных задач,Нейтрально,163,419,77.63
118,2024-05-19 18:46:25,Исследования и разработка,Data Lake,Заработная плата персонала,88640,98942,Оптимизация облачных ресурсов,Очень недоволен,139,10302,711.81
119,2024-05-09 20:32:59,Продажи,ETL-инструменты,Облачные сервисы,74728,67370,Оптимизация облачных ресурсов,Нейтрально,469,-7358,143.65
120,2023-01-04 19:01:28,Маркетинг,Хранилище данных,Облачные сервисы,33898,32196,Централизация закупок ПО,Недоволен,43,-1702,748.74
121,2023-02-21 09:24:12,Маркетинг,Data Lake,Обучение сотрудников,95428,104702,Автоматизация рутинных задач,Доволен,494,9274,211.95
122,2023-09-24 21:28:41,Маркетинг,ETL-инструменты,Лицензии на ПО,13368,14836,Централизация закупок ПО,Доволен,170,1468,87.27
123,2023-06-05 02:09:25,Логистика,ETL-инструменты,Обучение сотрудников,58381,72084,Оптимизация облачных ресурсов,Нейтрально,425,13703,169.61
124,2023-02-13 07:51:38,Финансы,ERP,Консалтинг,16568,15567,Оптимизация облачных ресурсов,Нейтрально,421,-1001,36.98
125,2023-07-31 22:44:25,HR,CRM,Консалтинг,82299,86894,Переход на ПО с открытым исходным кодом,Нейтрально,17,4595,5111.41
126,2023-04-16 20:51:10,HR,ERP,Лицензии на ПО,76613,80306,Централизация закупок ПО,Недоволен,430,3693,186.76
127,2024-03-09 17:39:54,Логистика,ERP,Лицензии на ПО,41844,45170,Автоматизация рутинных задач,Очень недоволен,391,3326,115.52
128,2024-08-04 23:13:16,Финансы,ERP,Заработная плата персонала,58420,67911,Централизация закупок ПО,Нейтрально,310,9491,219.07
129,2024-07-10 23:08:46,ИТ,Data Lake,Заработная плата персонала,93447,115650,Централизация закупок ПО,Недоволен,204,22203,566.91
130,2024-12-01 19:13:45,Производство,ETL-инструменты,Лицензии на ПО,72493,66216,Пересмотр лицензионных соглашений,Очень недоволен,347,-6277,190.82
131,2023-10-23 10:24:38,Логистика,CRM,Обслуживание оборудования,59708,70116,Автоматизация рутинных задач,Доволен,25,10408,2804.64
132,2023-03-08 23:52:25,HR,ETL-инструменты,Лицензии на ПО,71030,76203,Повышение квалификации сотрудников,Доволен,93,5173,819.39
133,2023-04-11 21:43:43,ИТ,ETL-инструменты,Обучение сотрудников,12787,15739,Автоматизация рутинных задач,Нейтрально,459,2952,34.29
134,2023-01-15 07:38:57,ИТ,Data Lake,Заработная плата персонала,43797,49955,Пересмотр лицензионных соглашений,Доволен,439,6158,113.79
135,2023-12-08 18:17:56,Продажи,ERP,Лицензии на ПО,64643,75216,Повышение квалификации сотрудников,Очень недоволен,311,10573,241.85
136,2023-12-14 00:54:07,Маркетинг,ERP,Облачные сервисы,51341,61624,Централизация закупок ПО,Нейтрально,436,10283,141.34
137,2023-09-29 08:40:50,Маркетинг,BI-платформа,Обслуживание оборудования,39716,46616,Переход на ПО с открытым исходным кодом,Очень доволен,416,6900,112.06
138,2023-05-17 18:59:17,Продажи,Data Lake,Лицензии на ПО,52886,52885,Централизация закупок ПО,Очень недоволен,481,-1,109.95
139,2023-02-04 17:29:17,Логистика,ETL-инструменты,Консалтинг,19861,20509,Повышение квалификации сотрудников,Доволен,413,648,49.66
140,2024-01-23 17:28:06,Логистика,ETL-инструменты,Облачные сервисы,64393,54807,Пересмотр лицензионных соглашений,Очень доволен,93,-9586,589.32
141,2023-04-21 03:21:28,Маркетинг,CRM,Обслуживание оборудования,40987,38052,Оптимизация облачных ресурсов,Очень недоволен,442,-2935,86.09
142,2024-01-07 08:15:29,Маркетинг,ERP,Облачные сервисы,11333,11377,Автоматизация рутинных задач,Очень недоволен,455,44,25.0
143,2023-10-22 15:03:29,HR,Система управленческого учета,Обучение сотрудников,10803,9930,Оптимизация облачных ресурсов,Очень недоволен,212,-873,46.84
144,2023-02-26 20:12:58,Продажи,Data Lake,Лицензии на ПО,79354,96721,Централизация закупок ПО,Доволен,186,17367,520.01
145,2023-11-30 04:15:35,ИТ,Data Lake,Консалтинг,91172,111480,Повышение квалификации сотрудников,Очень доволен,162,20308,688.15
146,2024-03-24 02:21:31,HR,Data Lake,Обучение сотрудников,89652,101110,Переход на ПО с открытым исходным кодом,Очень доволен,469,11458,215.59
147,2023-10-17 15:37:53,Продажи,ERP,Облачные сервисы,32985,41116,Автоматизация рутинных задач,Доволен,403,8131,102.02
148,2024-05-26 13:52:14,Логистика,BI-платформа,Лицензии на ПО,60168,60891,Переход на ПО с открытым исходным кодом,Доволен,64,723,951.42
149,2024-10-14 22:58:12,Производство,ETL-инструменты,Обслуживание оборудования,66447,78199,Переход на ПО с открытым исходным кодом,Очень недоволен,66,11752,1184.83
150,2023-01-06 09:34:42,HR,ETL-инструменты,Облачные сервисы,56294,60837,Пересмотр лицензионных соглашений,Очень доволен,181,4543,336.12
151,2024-11-21 13:59:55,Продажи,ETL-инструменты,Консалтинг,26181,22299,Пересмотр лицензионных соглашений,Нейтрально,105,-3882,212.37
152,2024-05-21 19:54:11,Финансы,CRM,Лицензии на ПО,62602,60511,Повышение квалификации сотрудников,Нейтрально,345,-2091,175.39
153,2024-11-07 23:29:56,Финансы,Data Lake,Облачные сервисы,46670,49707,Автоматизация рутинных задач,Нейтрально,458,3037,108.53
154,2023-12-20 16:33:23,ИТ,ETL-инструменты,Лицензии на ПО,35321,33948,Повышение квалификации сотрудников,Очень недоволен,476,-1373,71.32
155,2024-10-21 01:13:02,Финансы,BI-платформа,Лицензии на ПО,76060,69953,Автоматизация рутинных задач,Нейтрально,192,-6107,364.34
156,2024-01-03 11:55:51,Маркетинг,ETL-инструменты,Заработная плата персонала,24903,21517,Оптимизация облачных ресурсов,Доволен,386,-3386,55.74
157,2023-06-20 19:42:30,Производство,Data Lake,Консалтинг,35660,34677,Автоматизация рутинных задач,Нейтрально,467,-983,74.25
158,2023-10-11 06:57:58,Логистика,BI-платформа,Облачные сервисы,28231,27597,Повышение квалификации сотрудников,Очень недоволен,229,-634,120.51
159,2023-07-03 20:46:02,ИТ,BI-платформа,Обслуживание оборудования,39402,33956,Повышение квалификации сотрудников,Доволен,335,-5446,101.36
160,2024-08-10 06:09:20,Продажи,Хранилище данных,Лицензии на ПО,95209,88923,Пересмотр лицензионных соглашений,Очень недоволен,84,-6286,1058.61
161,2023-09-08 05:01:28,Продажи,BI-платформа,Обслуживание оборудования,39629,45222,Автоматизация рутинных задач,Нейтрально,25,5593,1808.88
162,2023-01-30 10:29:36,Маркетинг,Data Lake,Облачные сервисы,39301,37242,Централизация закупок ПО,Очень недоволен,382,-2059,97.49
163,2023-08-14 12:51:56,ИТ,Система управленческого учета,Обучение сотрудников,13478,15909,Автоматизация рутинных задач,Недоволен,363,2431,43.83
164,2023-07-12 19:38:21,ИТ,ETL-инструменты,Лицензии на ПО,15967,18654,Переход на ПО с открытым исходным кодом,Доволен,62,2687,300.87
165,2024-03-01 07:30:45,Продажи,Data Lake,Облачные сервисы,40131,40121,Повышение квалификации сотрудников,Недоволен,286,-10,140.28
166,2024-05-15 12:44:18,Продажи,Хранилище данных,Облачные сервисы,94077,109855,Повышение квалификации сотрудников,Очень недоволен,52,15778,2112.6
167,2023-06-03 12:36:08,ИТ,Data Lake,Лицензии на ПО,21515,20442,Централизация закупок ПО,Недоволен,342,-1073,59.77
168,2024-03-18 19:27:21,Маркетинг,Система управленческого учета,Обучение сотрудников,57836,63990,Пересмотр лицензионных соглашений,Недоволен,75,6154,853.2
169,2023-11-23 00:04:40,Маркетинг,ERP,Облачные сервисы,57509,50123,Автоматизация рутинных задач,Недоволен,143,-7386,350.51
170,2024-03-27 10:17:47,HR,BI-платформа,Консалтинг,76663,94623,Пересмотр лицензионных соглашений,Очень недоволен,324,17960,292.05
171,2023-07-16 04:00:29,Финансы,ETL-инструменты,Обучение сотрудников,91953,109768,Повышение квалификации сотрудников,Недоволен,451,17815,243.39
172,2024-10-19 09:19:03,ИТ,Система управленческого учета,Обслуживание оборудования,80731,93710,Пересмотр лицензионных соглашений,Доволен,350,12979,267.74
173,2024-12-15 00:55:34,HR,CRM,Лицензии на ПО,29841,26794,Оптимизация облачных ресурсов,Очень недоволен,211,-3047,126.99
174,2024-04-15 22:09:21,ИТ,Система управленческого учета,Обслуживание оборудования,50289,59039,Оптимизация облачных ресурсов,Очень доволен,418,8750,141.24
175,2023-03-06 05:02:26,Производство,BI-платформа,Обучение сотрудников,55534,54611,Централизация закупок ПО,Очень доволен,474,-923,115.21
176,2024-12-30 01:50:22,Производство,ETL-инструменты,Облачные сервисы,7889,7342,Оптимизация облачных ресурсов,Доволен,57,-547,128.81
177,2024-11-05 22:37:32,Производство,Data Lake,Обучение сотрудников,13468,16295,Централизация закупок ПО,Очень недоволен,329,2827,49.53
178,2023-01-17 20:18:45,HR,ETL-инструменты,Заработная плата персонала,75569,83154,Централизация закупок ПО,Доволен,76,7585,1094.13
179,2024-01-15 05:18:33,ИТ,BI-платформа,Лицензии на ПО,34184,35860,Централизация закупок ПО,Доволен,495,1676,72.44
180,2024-01-08 09:13:40,Логистика,Система управленческого учета,Облачные сервисы,13542,14927,Повышение квалификации сотрудников,Нейтрально,224,1385,66.64
181,2024-07-30 08:32:36,ИТ,BI-платформа,Обслуживание оборудования,41162,50475,Переход на ПО с открытым исходным кодом,Доволен,54,9313,934.72
182,2024-04-05 11:27:16,HR,Хранилище данных,Облачные сервисы,67485,75167,Повышение квалификации сотрудников,Доволен,103,7682,729.78
183,2023-10-19 14:55:25,Маркетинг,Система управленческого учета,Консалтинг,99564,122034,Переход на ПО с открытым исходным кодом,Доволен,282,22470,432.74
184,2023-09-03 04:56:31,Финансы,Data Lake,Заработная плата персонала,98492,87678,Повышение квалификации сотрудников,Доволен,184,-10814,476.51
185,2023-08-18 09:57:21,Продажи,BI-платформа,Облачные сервисы,99766,114066,Повышение квалификации сотрудников,Доволен,86,14300,1326.35
186,2023-07-04 07:44:05,Логистика,ERP,Обслуживание оборудования,51552,52523,Пересмотр лицензионных соглашений,Очень недоволен,12,971,4376.92
187,2024-07-14 04:20:02,Продажи,BI-платформа,Обучение сотрудников,46931,55668,Централизация закупок ПО,Доволен,305,8737,182.52
188,2024-05-17 23:43:56,Маркетинг,Хранилище данных,Облачные сервисы,41747,51868,Пересмотр лицензионных соглашений,Недоволен,211,10121,245.82
189,2023-06-26 22:32:35,Логистика,BI-платформа,Заработная плата персонала,95822,106784,Переход на ПО с открытым исходным кодом,Недоволен,330,10962,323.59
190,2023-07-28 00:49:19,Производство,CRM,Заработная плата персонала,75843,79765,Переход на ПО с открытым исходным кодом,Очень недоволен,178,3922,448.12
191,2024-12-15 14:13:05,Продажи,Data Lake,Облачные сервисы,12838,12157,Переход на ПО с открытым исходным кодом,Очень доволен,228,-681,53.32
